image_name,probabilidad,clasificacion,clasificacion_modificada
Colpo_benign_1154.jpg,0.6247,Anormal,Normal
Colpo_benign_1161.jpg,0.6187,Anormal,Normal
Colpo_benign_1168.jpg,0.727,Anormal,Anormal
Colpo_benign_1174.jpg,0.4569,Anormal,Anormal
Colpo_benign_1179.jpg,0.4371,Anormal,Anormal
Colpo_benign_1190.jpg,0.2921,Normal,Anormal
Colpo_benign_1194.jpg,0.7276,Anormal,Anormal
Colpo_benign_1199.jpg,0.2463,Normal,Anormal
Colpo_benign_12.jpg,0.458,Anormal,Normal
Colpo_benign_1202.jpg,0.6865,Anormal,Normal
Colpo_benign_1204.jpg,0.6006,Anormal,Normal
Colpo_benign_1220.jpg,0.7862,Anormal,Anormal
Colpo_benign_1223.jpg,0.7675,Anormal,Anormal
Colpo_benign_1226.jpg,0.6559,Anormal,Anormal
Colpo_benign_1229.jpg,0.4293,Anormal,Anormal
Colpo_benign_1230.jpg,0.6954,Anormal,Anormal
Colpo_benign_1239.jpg,0.611,Anormal,Anormal
Colpo_benign_1251.jpg,0.844,Anormal,Anormal
Colpo_benign_1273.jpg,0.4994,Anormal,Anormal
Colpo_benign_1274.jpg,0.6074,Anormal,Anormal
Colpo_benign_1281.jpg,0.6833,Anormal,Anormal
Colpo_benign_1285.jpg,0.5541,Anormal,Normal
Colpo_benign_1288.jpg,0.4242,Anormal,Anormal
Colpo_benign_1289.jpg,0.5502,Anormal,Anormal
Colpo_benign_129.jpg,0.7127,Anormal,Normal
Colpo_benign_13.jpg,0.4353,Anormal,Anormal
Colpo_benign_1308.jpg,0.8316,Anormal,Normal
Colpo_benign_1314.jpg,0.5514,Anormal,Normal
Colpo_benign_1320.jpg,0.3901,Normal,Normal
Colpo_benign_1336.jpg,0.5423,Anormal,Normal
Colpo_benign_1344.jpg,0.2988,Normal,Normal
Colpo_benign_1346.jpg,0.4418,Anormal,Anormal
Colpo_benign_1370.jpg,0.5442,Anormal,Anormal
Colpo_benign_138.jpg,0.6061,Anormal,Anormal
Colpo_benign_1384.jpg,0.5793,Anormal,Anormal
Colpo_benign_1389.jpg,0.896,Anormal,Normal
Colpo_benign_139.jpg,0.5966,Anormal,Normal
Colpo_benign_1390.jpg,0.6201,Anormal,Anormal
Colpo_benign_1393.jpg,0.4557,Anormal,Anormal
Colpo_benign_14.jpg,0.8057,Anormal,Anormal
Colpo_benign_1414.jpg,0.723,Anormal,Anormal
